Starting with distance:  3
Starting with error rate:  0.2
Distance: 3, Error Rate: 0.2, Hidden Size: 32, Num Layers: 3, LR: 0.01, Weight Decay: 0.0005, Epoch: 100, Loss: 0.2034
Distance: 3, Error Rate: 0.2, Hidden Size: 32, Num Layers: 3, LR: 0.01, Weight Decay: 0.0008, Epoch: 100, Loss: 0.1804
Distance: 3, Error Rate: 0.2, Hidden Size: 32, Num Layers: 3, LR: 0.1, Weight Decay: 0.0005, Epoch: 100, Loss: 0.9775
Distance: 3, Error Rate: 0.2, Hidden Size: 32, Num Layers: 3, LR: 0.1, Weight Decay: 0.0008, Epoch: 100, Loss: 1.0907
Distance: 3, Error Rate: 0.2, Hidden Size: 32, Num Layers: 4, LR: 0.01, Weight Decay: 0.0005, Epoch: 100, Loss: 0.6652
Distance: 3, Error Rate: 0.2, Hidden Size: 32, Num Layers: 4, LR: 0.01, Weight Decay: 0.0008, Epoch: 100, Loss: 0.6950
Distance: 3, Error Rate: 0.2, Hidden Size: 32, Num Layers: 4, LR: 0.1, Weight Decay: 0.0005, Epoch: 100, Loss: 0.8917
Distance: 3, Error Rate: 0.2, Hidden Size: 32, Num Layers: 4, LR: 0.1, Weight Decay: 0.0008, Epoch: 100, Loss: 0.8665
Distance: 3, Error Rate: 0.2, Hidden Size: 32, Num Layers: 5, LR: 0.01, Weight Decay: 0.0005, Epoch: 100, Loss: 0.7722
Distance: 3, Error Rate: 0.2, Hidden Size: 32, Num Layers: 5, LR: 0.01, Weight Decay: 0.0008, Epoch: 100, Loss: 0.7753
Distance: 3, Error Rate: 0.2, Hidden Size: 32, Num Layers: 5, LR: 0.1, Weight Decay: 0.0005, Epoch: 100, Loss: 1.1225
Distance: 3, Error Rate: 0.2, Hidden Size: 32, Num Layers: 5, LR: 0.1, Weight Decay: 0.0008, Epoch: 100, Loss: 1.2874
Distance: 3, Error Rate: 0.2, Hidden Size: 64, Num Layers: 3, LR: 0.01, Weight Decay: 0.0005, Epoch: 100, Loss: 0.3470
Distance: 3, Error Rate: 0.2, Hidden Size: 64, Num Layers: 3, LR: 0.01, Weight Decay: 0.0008, Epoch: 100, Loss: 0.4202
Distance: 3, Error Rate: 0.2, Hidden Size: 64, Num Layers: 3, LR: 0.1, Weight Decay: 0.0005, Epoch: 100, Loss: 3.6620
Distance: 3, Error Rate: 0.2, Hidden Size: 64, Num Layers: 3, LR: 0.1, Weight Decay: 0.0008, Epoch: 100, Loss: 2.6063
Distance: 3, Error Rate: 0.2, Hidden Size: 64, Num Layers: 4, LR: 0.01, Weight Decay: 0.0005, Epoch: 100, Loss: 0.7801
Distance: 3, Error Rate: 0.2, Hidden Size: 64, Num Layers: 4, LR: 0.01, Weight Decay: 0.0008, Epoch: 100, Loss: 0.7535
Distance: 3, Error Rate: 0.2, Hidden Size: 64, Num Layers: 4, LR: 0.1, Weight Decay: 0.0005, Epoch: 100, Loss: 3.3367
Distance: 3, Error Rate: 0.2, Hidden Size: 64, Num Layers: 4, LR: 0.1, Weight Decay: 0.0008, Epoch: 100, Loss: 2.3691
Distance: 3, Error Rate: 0.2, Hidden Size: 64, Num Layers: 5, LR: 0.01, Weight Decay: 0.0005, Epoch: 100, Loss: 0.8072
Distance: 3, Error Rate: 0.2, Hidden Size: 64, Num Layers: 5, LR: 0.01, Weight Decay: 0.0008, Epoch: 100, Loss: 0.7536
Distance: 3, Error Rate: 0.2, Hidden Size: 64, Num Layers: 5, LR: 0.1, Weight Decay: 0.0005, Epoch: 100, Loss: 2.1658
Distance: 3, Error Rate: 0.2, Hidden Size: 64, Num Layers: 5, LR: 0.1, Weight Decay: 0.0008, Epoch: 100, Loss: 25.2821
Distance: 3, Error Rate: 0.2, Hidden Size: 64, Num Layers: 5, LR: 0.1, Weight Decay: 0.0008, Epoch: 100, Loss: 25.2821
Best Accuracy:  0.9327586206896552 Best Hyperparameters {'distance': 3, 'error_rate': 0.2, 'hidden_size': 32, 'num_layers': 3, 'lr': 0.01, 'weight_decay': 0.0008}
Starting with error rate:  0.3
Distance: 3, Error Rate: 0.3, Hidden Size: 32, Num Layers: 3, LR: 0.01, Weight Decay: 0.0005, Epoch: 100, Loss: 0.3554
Distance: 3, Error Rate: 0.3, Hidden Size: 32, Num Layers: 3, LR: 0.01, Weight Decay: 0.0008, Epoch: 100, Loss: 0.1377
Distance: 3, Error Rate: 0.3, Hidden Size: 32, Num Layers: 3, LR: 0.1, Weight Decay: 0.0005, Epoch: 100, Loss: 1.4241
Distance: 3, Error Rate: 0.3, Hidden Size: 32, Num Layers: 3, LR: 0.1, Weight Decay: 0.0008, Epoch: 100, Loss: 1.5036
Distance: 3, Error Rate: 0.3, Hidden Size: 32, Num Layers: 4, LR: 0.01, Weight Decay: 0.0005, Epoch: 100, Loss: 0.8531
